NUM_BV: 1919 NUM_LEAF: 1920
0 0 0
1 0 0
2 0 0
3 0 0
4 0 1.57276
13 0 0
14 0 0
5 0 0
6 0 0
9 0 0.07882881
10 0 45.29322
15 0 0
16 0 0.9639702
19 0 0
20 0 46.2202
5 1 0
5 2 20.90563
7 0 0
8 0 0
11 0 4.791076
12 0 39.9818
10 1 68.88588
10 2 45.90901
15 1 0
15 2 20.90563
17 0 39.98169
18 0 45.01284
21 0 45.01284
22 0 0.005250931
20 1 69.50774
20 2 46.84416
5 3 0
5 4 0
5 161 8.973574
5 162 10.46833
7 1 0
7 2 0
8 1 0
8 2 0
11 1 11.65201
11 2 4.798955
12 1 39.88737
12 2 39.79809
10 3 58.05196
10 4 58.05195
10 161 40.94998
10 162 40.94994
15 3 0
15 4 0
15 161 8.973574
15 162 8.971909
17 1 39.78515
17 2 39.90236
18 1 44.9348
18 2 45.02089
21 1 44.9348
21 2 44.93994
22 1 12.6391
22 2 0
20 3 61.53113
20 4 59.29265
20 161 44.45335
20 162 43.49518
5 5 0
5 6 2.164581
5 83 0
5 84 6.506298
5 163 13.24569
5 164 21.38007
5 241 22.22809
5 242 14.49237
7 3 0
7 4 0
7 161 0
7 162 0
8 3 0
8 4 8.617339
8 161 0
8 162 8.436218
11 3 11.0645
11 4 20.22074
11 161 8.610188
11 162 13.51103
12 3 39.62325
12 4 39.31153
12 161 39.34399
12 162 39.36827
10 5 70.05844
10 6 62.54994
10 83 70.05839
10 84 62.54996
10 163 50.69042
10 164 42.6912
10 241 42.69123
10 242 50.6904
15 5 0
15 6 2.164581
15 83 0
15 84 2.164587
15 163 13.24569
15 164 21.38007
15 241 21.38005
15 242 13.24565
17 3 39.284
17 4 39.28399
17 161 39.38786
17 162 39.67889
18 3 58.61734
18 4 40.60379
18 161 58.77199
18 162 41.35601
21 3 58.61734
21 4 40.58728
21 161 58.43622
21 162 41.17228
22 3 31.85593
22 4 12.4382
22 161 12.98052
22 162 7.38525
20 5 73.09246
20 6 65.83317
20 83 70.96779
20 84 63.58928
20 163 55.57732
20 164 46.65321
20 241 44.39746
20 242 51.45245
5 7 0
5 8 0
5 45 4.019803
5 46 7.04509
5 85 0
5 86 0
5 123 7.491942
5 124 5.085127
5 165 23.07548
5 166 19.4016
5 203 24.22416
5 204 42.83791
5 243 24.22417
5 244 43.00503
5 281 19.40268
5 282 23.81862
7 5 0
7 6 0
7 83 0
7 84 0
7 163 0
7 164 0
7 241 0
7 242 0
8 5 1.414762
8 6 0
8 83 12.8943
8 84 20.42499
8 163 0
8 164 3.486837
8 241 15.06366
8 242 19.68713
11 5 17.69665
11 6 11.74252
11 83 22.23903
11 84 27.6602
11 163 5.815708
11 164 6.15958
11 241 18.024
11 242 22.14974
12 5 35.63158
12 6 34.6689
12 83 35.51988
12 84 34.7574
12 163 34.66875
12 164 33.74355
12 241 33.78588
12 242 34.66888
10 7 91.17999
10 8 74.21586
10 45 70.8437
10 46 68.67567
10 85 91.18172
10 86 74.21586
10 123 68.67561
10 124 70.84445
10 165 52.48359
10 166 55.34104
10 203 43.98194
10 204 47.88645
10 243 43.98563
10 244 47.88645
10 281 55.34109
10 282 52.48197
15 7 0
15 8 0
15 45 3.854481
15 46 7.04509
15 85 0
15 86 0
15 123 7.04506
15 124 3.859682
15 165 23.07548
15 166 19.4016
15 203 24.22416
15 204 42.82722
15 243 24.22417
15 244 42.82708
15 281 19.40165
15 282 23.01445
17 5 34.66887
17 6 34.66891
17 83 34.66898
17 84 34.66888
17 163 34.81077
17 164 34.6802
17 241 34.33432
17 242 34.66888
18 5 62.89435
18 6 70.42496
18 83 51.41475
18 84 43.04099
18 163 70.04892
18 164 65.41442
18 241 54.44019
18 242 43.55161
21 5 62.89435
21 6 70.42496
21 83 51.41475
21 84 43.04099
21 163 69.68719
21 164 65.06378
21 241 53.48679
21 242 43.22761
22 5 31.31406
22 6 30.31333
22 83 23.96264
22 84 12.79729
22 163 22.84121
22 164 12.89064
22 241 3.222393
22 242 5.622529
20 7 93.11475
20 8 75.25833
20 45 73.7684
20 46 70.06243
20 85 92.33907
20 86 74.93999
20 123 69.24949
20 124 72.04647
20 165 55.32419
20 166 57.83166
20 203 45.9604
20 204 49.58559
20 243 44.8742
20 244 49.64605
20 281 55.62997
20 282 54.8644
5 9 0.4605155
5 10 0
5 27 0
5 28 0
5 47 5.105125
5 48 13.75463
5 65 10.40958
5 66 2.230102
5 87 0
5 88 2.415754
5 105 0
5 106 0
5 125 5.80473
5 126 10.95173
5 143 8.121821
5 144 17.55144
5 167 23.21613
5 168 33.68176
5 185 21.58194
5 186 11.1977
5 205 16.87962
5 206 24.6921
5 223 42.70893
5 224 47.6951
5 245 17.44733
5 246 24.6921
5 263 47.987
5 264 43.72065
5 283 11.56713
5 284 21.58194
5 301 26.23418
5 302 36.17118
7 7 0
7 8 0
7 45 0
7 46 0
7 85 0
7 86 0
7 123 0
7 124 0
7 165 0
7 166 0
7 203 0
7 204 0
7 243 0
7 244 0
7 281 0
7 282 0
8 7 3.143028
8 8 6.185761
8 45 0
8 46 0
8 85 21.92662
8 86 19.04176
8 123 24.3632
8 124 42.01113
8 165 0
8 166 0
8 203 7.749224
8 204 4.928468
8 243 19.76621
8 244 22.41071
8 281 24.05387
8 282 40.33034
11 7 17.39678
11 8 14.49502
11 45 10.97842
11 46 5.141685
11 85 29.92125
11 86 22.60833
11 123 26.81387
11 124 45.93505
11 165 5.319839
11 166 0.4191799
11 203 8.71368
11 204 9.134776
11 243 21.40388
11 244 25.19122
11 281 25.77939
11 282 42.00056
12 7 37.12492
12 8 30.36782
12 45 33.7347
12 46 30.20082
12 85 41.98028
12 86 31.22547
12 123 31.18682
12 124 38.34974
12 165 33.74717
12 166 30.20087
12 203 31.14062
12 204 34.9091
12 243 31.14061
12 244 34.29364
12 281 30.33588
12 282 33.73796
10 9 90.57981
10 10 97.12653
10 27 74.52124
10 28 66.16473
10 47 81.74197
10 48 71.15408
10 65 71.13866
10 66 60.83761
10 87 97.12653
10 88 90.57984
10 105 74.52124
10 106 66.15904
10 125 60.83762
10 126 71.13867
10 143 81.74197
10 144 71.15409
10 167 61.93633
10 168 53.81419
10 185 58.61121
10 186 50.74291
10 205 44.28275
10 206 45.99276
10 223 50.72204
10 224 49.27673
10 245 44.27862
10 246 45.99276
10 263 49.27666
10 264 50.72219
10 283 50.744
10 284 58.61121
10 301 61.93629
10 302 53.81404
15 9 0.4605155
15 10 0
15 27 0
15 28 0
15 47 5.105125
15 48 13.75463
15 65 10.40958
15 66 2.230102
15 87 0
15 88 0.4605494
15 105 0
15 106 0
15 125 2.230104
15 126 10.40958
15 143 5.105101
15 144 13.75577
15 167 23.21613
15 168 33.68176
15 185 21.58194
15 186 11.15018
15 205 16.87962
15 206 24.6921
15 223 42.70894
